"taxon_name","accepted_wcvp_name","accepted_wcvp_name_binomial"
"Solanum capsicoides All.","Solanum capsicoides All.","Solanum capsicoides"
"Solanum carolinense L.","Solanum carolinense L.","Solanum carolinense"
"Solanum carolinense L. var. carolinense","Solanum carolinense L. var. carolinense","Solanum carolinense"
"Solanum dimidiatum Raf.","Solanum dimidiatum Raf.","Solanum dimidiatum"
"Solanum dulcamara L.","Solanum dulcamara L.","Solanum dulcamara"
"Solanum elaeagnifolium Cav.","Solanum elaeagnifolium Cav.","Solanum elaeagnifolium"
"Solanum nigrum L.","Solanum nigrum L.","Solanum nigrum"
"Solanum rostratum Dunal","Solanum rostratum Dunal","Solanum rostratum"
"Solanum sp.","Solanum sp.","Solanum sp."
"Solanum spp.","Solanum spp.","Solanum sp."
"Solanum torvum Sw.","Solanum torvum Sw.","Solanum torvum"
"Solanum triflorum Nutt.","Solanum triflorum Nutt.","Solanum triflorum"
"Solidago altiplanities C.E.S. Taylor & R.J. Taylor","Solidago altiplanities C.E.S.Taylor & R.John Taylor","Solidago altiplanities"
"Solidago altissima L.","Solidago altissima L.","Solidago altissima"
"Solidago canadensis L. var. gilvocanescens Rydb.","Solidago altissima subsp. gilvocanescens (Rydb.) Semple","Solidago altissima"
"Solidago arguta Aiton","Solidago arguta Aiton","Solidago arguta"
"Solidago arguta Aiton var. arguta","Solidago arguta var. arguta","Solidago arguta"
"Solidago auriculata Shuttlw. ex S.F. Blake","Solidago auriculata Shuttlew. ex S.F.Blake","Solidago auriculata"
"Solidago bicolor L.","Solidago bicolor L.","Solidago bicolor"
"Solidago caesia L.","Solidago caesia L.","Solidago caesia"
"Solidago canadensis L.","Solidago canadensis L.","Solidago canadensis"
"Solidago canadensis L. var. hargeri Fernald","Solidago canadensis var. hargeri Fernald","Solidago canadensis"
"Solidago odora Aiton var. chapmanii (A. Gray) Cronquist","Solidago chapmanii A.Gray","Solidago chapmanii"
"Solidago curtisii Torr. & A. Gray","Solidago curtisii Torr. & A.Gray","Solidago curtisii"
"Solidago fistulosa Mill.","Solidago fistulosa Mill.","Solidago fistulosa"
"Solidago flexicaulis L.","Solidago flexicaulis L.","Solidago flexicaulis"
"Solidago gigantea Aiton","Solidago gigantea Aiton","Solidago gigantea"
"Solidago hispida Muhl. ex Willd.","Solidago hispida Muhl. ex Willd.","Solidago hispida"
"Solidago hispida Muhl. ex Willd. var. arnoglossa Fernald","Solidago hispida Muhl. ex Willd.","Solidago hispida"
"Solidago juncea Aiton","Solidago juncea Aiton","Solidago juncea"
"Solidago missouriensis Nutt.","Solidago missouriensis Nutt.","Solidago missouriensis"
"Solidago missouriensis Nutt. var. fasciculata Holz.","Solidago missouriensis Nutt.","Solidago missouriensis"
"Solidago mollis Bartlett","Solidago mollis Bartl.","Solidago mollis"
"Solidago multiradiata Aiton","Solidago multiradiata Aiton","Solidago multiradiata"
"Solidago multiradiata Aiton var. scopulorum A. Gray","Solidago multiradiata subsp. multiradiata","Solidago multiradiata"
"Solidago nemoralis Aiton","Solidago nemoralis Aiton","Solidago nemoralis"
"Solidago nemoralis Aiton var. longipetiolata (Mack. & Bush) Palmer & Steyerm.","Solidago nemoralis subsp. decemflora (DC.) Brammall ex Semple","Solidago nemoralis"
"Oligoneuron nitidum (Torr. & A. Gray) Small","Solidago nitida Torr. & A.Gray","Solidago nitida"
"Solidago odora Aiton","Solidago odora Aiton","Solidago odora"
"Solidago erecta Pursh","Solidago petiolaris Aiton","Solidago petiolaris"
"Oligoneuron album (Nutt.) G.L. Nesom","Solidago ptarmicoides (Torr. & A.Gray) B.Boivin","Solidago ptarmicoides"
"Solidago puberula Nutt.","Solidago puberula Nutt.","Solidago puberula"
"Oligoneuron riddellii (Frank ex Riddell) Rydb.","Solidago riddellii Frank","Solidago riddellii"
"Oligoneuron rigidum (L.) Small","Solidago rigida subsp. rigida","Solidago rigida"
"Oligoneuron rigidum (L.) Small var. humile (Porter) G.L. Nesom","Solidago rigida subsp. humilis (Porter) S.B.Heard & Semple","Solidago rigida"
"Oligoneuron rigidum (L.) Small var. glabratum (E.L. Braun) G.L. Nesom","Solidago rigida subsp. glabrata (Braun) S.B.Heard & Semple","Solidago rigida"
"Solidago roanensis Porter","Solidago roanensis Porter","Solidago roanensis"
"Solidago rugosa Mill.","Solidago rugosa Mill.","Solidago rugosa"
"Solidago rugosa Mill. ssp. rugosa var. villosa (Pursh) Fernald","Solidago rugosa Mill.","Solidago rugosa"
"Solidago sempervirens L.","Solidago sempervirens L.","Solidago sempervirens"
"Solidago simplex Kunth","Solidago simplex Kunth","Solidago simplex"
"Solidago sp.","Solidago sp.","Solidago sp."
"Solidago spp.","Solidago spp.","Solidago sp."
"Solidago speciosa Nutt.","Solidago speciosa Nutt.","Solidago speciosa"
"Solidago stricta Aiton","Solidago stricta Aiton","Solidago stricta"
"Solidago tortifolia Elliott","Solidago tortifolia Elliott","Solidago tortifolia"
"Solidago uliginosa Nutt.","Solidago uliginosa Nutt.","Solidago uliginosa"
"Solidago ulmifolia Muhl. ex Willd.","Solidago ulmifolia Muhl. ex Willd.","Solidago ulmifolia"
"Sonchus arvensis L.","Sonchus arvensis L.","Sonchus arvensis"
"Sonchus asper (L.) Hill","Sonchus asper (L.) Hill","Sonchus asper"
"Sonchus oleraceus L.","Sonchus oleraceus L.","Sonchus oleraceus"
"Sonchus sp.","Sonchus sp.","Sonchus sp."
"Sophora nuttalliana B.L. Turner","Sophora nuttalliana B.L.Turner","Sophora nuttalliana"
"Sophora sp.","Sophora sp.","Sophora sp."
"Sorbus americana Marshall","Sorbus americana Marshall","Sorbus americana"
"Sorbus aucuparia L.","Sorbus aucuparia L.","Sorbus aucuparia"
"Sorbus decora (Sarg.) C.K. Schneid.","Sorbus decora (Sarg.) C.K.Schneid.","Sorbus decora"
"Sorbus scopulina Greene","Sorbus scopulina Greene","Sorbus scopulina"
"Sorbus sitchensis M. Roem.","Sorbus sitchensis M.Roem.","Sorbus sitchensis"
"Sorbus sp.","Sorbus sp.","Sorbus sp."
"Sorghastrum elliottii (C. Mohr) Nash","Sorghastrum elliottii (C.Mohr) Nash","Sorghastrum elliottii"
"Sorghastrum nutans (L.) Nash","Sorghastrum nutans (L.) Nash","Sorghastrum nutans"
"Sorghastrum secundum (Elliott) Nash","Sorghastrum secundum (Elliott) Nash","Sorghastrum secundum"
"Sorghastrum sp.","Sorghastrum sp.","Sorghastrum sp."
"Sorghastrum spp.","Sorghastrum spp.","Sorghastrum sp."
"Sorghum bicolor (L.) Moench","Sorghum bicolor (L.) Moench","Sorghum bicolor"
"Sorghum bicolor (L.) Moench ssp. bicolor","Sorghum bicolor subsp. bicolor","Sorghum bicolor"
"Sorghum bicolor (L.) Moench ssp. drummondii (Nees ex Steud.) de Wet & Harlan","Sorghum bicolor (L.) Moench ssp. drummondii (Nees ex Steud.) de Wet & Harlan","Sorghum bicolor"
"Sorghum halepense (L.) Pers.","Sorghum halepense (L.) Pers.","Sorghum halepense"
"Sorghum sp.","Sorghum sp.","Sorghum sp."
"Sorghum spp.","Sorghum spp.","Sorghum sp."
"Deiregyne confusa Garay","Sotoa confusa (Garay) Salazar","Sotoa confusa"
"Sparganium americanum Nutt.","Sparganium americanum Nutt.","Sparganium americanum"
"Sparganium eurycarpum Engelm.","Sparganium eurycarpum Engelm.","Sparganium eurycarpum"
"Sparganium sp.","Sparganium sp.","Sparganium sp."
"Spartina sp.","Spartina sp.","Spartina sp."
"Spathodea campanulata P. Beauv.","Spathodea campanulata P.Beauv.","Spathodea campanulata"
"Spergula arvensis L.","Spergula arvensis L.","Spergula arvensis"
"Spergularia rubra (L.) J. Presl & C. Presl","Spergularia rubra (L.) J.Presl & C.Presl","Spergularia rubra"
"Spergularia sp.","Spergularia sp.","Spergularia sp."
"Spermacoce confusa Rendle","Spermacoce confusa Rendle","Spermacoce confusa"
"Spermacoce glabra Michx.","Spermacoce glabra Michx.","Spermacoce glabra"
"Spermacoce sp.","Spermacoce sp.","Spermacoce sp."
"Spermacoce verticillata L.","Spermacoce verticillata L.","Spermacoce verticillata"
"Spermolepis echinata (Nutt. ex DC.) A. Heller","Spermolepis echinata (Nutt. ex DC.) A.Heller","Spermolepis echinata"
"Spermolepis inermis (Nutt. ex DC.) Mathias & Constance","Spermolepis inermis (Nutt. ex DC.) Mathias & Constance","Spermolepis inermis"
"Spermolepis sp.","Spermolepis sp.","Spermolepis sp."
"Sphaeralcea angustifolia (Cav.) G. Don","Sphaeralcea angustifolia (Cav.) G.Don","Sphaeralcea angustifolia"
"Sphaeralcea coccinea (Nutt.) Rydb.","Sphaeralcea coccinea (Nutt.) Rydb.","Sphaeralcea coccinea"
"Sphaeralcea fendleri A. Gray","Sphaeralcea fendleri A.Gray","Sphaeralcea fendleri"
"Sphaeralcea grossulariifolia (Hook. & Arn.) Rydb.","Sphaeralcea grossulariifolia (Hook. & Arn.) Rydb.","Sphaeralcea grossulariifolia"
"Sphaeralcea hastulata A. Gray","Sphaeralcea hastulata A.Gray","Sphaeralcea hastulata"
"Sphaeralcea incana Torr. ex A. Gray","Sphaeralcea incana Torr. ex A.Gray","Sphaeralcea incana"
"Sphaeralcea munroana (Douglas) Spach","Sphaeralcea munroana (Douglas ex Lindl.) Spach","Sphaeralcea munroana"
"Sphaeralcea parvifolia A. Nelson","Sphaeralcea parvifolia A.Nelson","Sphaeralcea parvifolia"
"Sphaeralcea spp.","Sphaeralcea spp.","Sphaeralcea sp."
"Sphaeralcea sp.","Sphaeralcea sp.","Sphaeralcea sp."
"Sphagnum sp.","Sphagnum sp.","Sphagnum sp."
"Sphenopholis filiformis (Chapm.) Scribn.","Sphenopholis filiformis (Chapm.) Scribn.","Sphenopholis filiformis"
"Sphenopholis intermedia (Rydb.) Rydb.","Sphenopholis intermedia (Rydb.) Rydb.","Sphenopholis intermedia"
"Trisetum interruptum Buckley","Sphenopholis interrupta (Buckley) Scribn.","Sphenopholis interrupta"
"Sphenopholis obtusata (Michx.) Scribn.","Sphenopholis obtusata (Michx.) Scribn.","Sphenopholis obtusata"
"Sphenopholis sp.","Sphenopholis sp.","Sphenopholis sp."
"Spigelia anthelmia L.","Spigelia anthelmia L.","Spigelia anthelmia"
"Spigelia marilandica (L.) L.","Spigelia marilandica (L.) L.","Spigelia marilandica"
"Spiraea alba Du Roi var. latifolia (Aiton) Dippel","Spiraea alba var. latifolia (Aiton) Dippel","Spiraea alba"
"Spiraea alba Du Roi var. alba","Spiraea alba var. alba","Spiraea alba"
"Spiraea alba Du Roi","Spiraea alba Du Roi","Spiraea alba"
"Spiraea betulifolia Pall.","Spiraea betulifolia Pall.","Spiraea betulifolia"
"Spiraea douglasii Hook.","Spiraea douglasii Hook.","Spiraea douglasii"
"Spiraea douglasii Hook. var. menziesii (Hook.) C. Presl","Spiraea douglasii var. menziesii (Hook.) C.Presl","Spiraea douglasii"
"Spiraea betulifolia Pall. var. lucida (Douglas ex Greene) C.L. Hitchc.","Spiraea lucida Douglas ex Greene","Spiraea lucida"
"Spiraea prunifolia Siebold & Zucc.","Spiraea prunifolia Siebold & Zucc.","Spiraea prunifolia"
"Spiraea sp.","Spiraea sp.","Spiraea sp."
"Spiraea spp.","Spiraea spp.","Spiraea sp."
"Spiraea splendens Baumann ex K. Koch var. splendens","Spiraea splendens var. splendens","Spiraea splendens"
"Spiraea stevenii (C.K. Schneid.) Rydb.","Spiraea stevenii (C.K.Schneid.) Rydb.","Spiraea stevenii"
"Spiraea tomentosa L.","Spiraea tomentosa L.","Spiraea tomentosa"
"Spiranthes cernua (L.) Rich.","Spiranthes cernua (L.) Rich.","Spiranthes cernua"
"Spiranthes lacera (Raf.) Raf. var. gracilis (Bigelow) Luer","Spiranthes lacera var. gracilis (Bigelow) Luer","Spiranthes lacera"
"Spiranthes lacera (Raf.) Raf. var. lacera","Spiranthes lacera var. lacera","Spiranthes lacera"
"Spiranthes lacera (Raf.) Raf.","Spiranthes lacera (Raf.) Raf.","Spiranthes lacera"
"Spiranthes ovalis Lindl.","Spiranthes ovalis Lindl.","Spiranthes ovalis"
"Spiranthes praecox (Walter) S. Watson","Spiranthes praecox (Walter) S.Watson","Spiranthes praecox"
"Spiranthes sp.","Spiranthes sp.","Spiranthes sp."
"Spiranthes tuberosa Raf.","Spiranthes tuberosa Raf.","Spiranthes tuberosa"
"Spiranthes vernalis Engelm. & A. Gray","Spiranthes vernalis Engelm. & A.Gray","Spiranthes vernalis"
"Sporobolus airoides (Torr.) Torr.","Sporobolus airoides (Torr.) Torr.","Sporobolus airoides"
"Spartina bakeri Merr.","Sporobolus bakeri (Merr.) P.M.Peterson & Saarela","Sporobolus bakeri"
"Sporobolus clandestinus (Biehler) Hitchc.","Sporobolus clandestinus (Biehler) Hitchc.","Sporobolus clandestinus"
"Sporobolus compositus (Poir.) Merr.","Sporobolus compositus (Poir.) Merr.","Sporobolus compositus"
"Sporobolus compositus (Poir.) Merr. var. drummondii (Trin.) Kartesz & Gandhi","Sporobolus compositus (Poir.) Merr.","Sporobolus compositus"
"Sporobolus compositus (Poir.) Merr. var. compositus","Sporobolus compositus (Poir.) Merr. var. compositus","Sporobolus compositus"
"Sporobolus contractus Hitchc.","Sporobolus contractus Hitchc.","Sporobolus contractus"
"Sporobolus cryptandrus (Torr.) A. Gray","Sporobolus cryptandrus (Torr.) A.Gray","Sporobolus cryptandrus"
"Sporobolus curtissii (Vasey ex Beal) Small ex Scribn.","Sporobolus curtissii Small ex Kearney","Sporobolus curtissii"
"Sporobolus flexuosus (Thurb. ex Vasey) Rydb.","Sporobolus flexuosus (Vasey) Rydb.","Sporobolus flexuosus"
"Sporobolus floridanus Chapm.","Sporobolus floridanus Chapm.","Sporobolus floridanus"
"Sporobolus heterolepis (A. Gray) A. Gray","Sporobolus heterolepis (A.Gray) A.Gray","Sporobolus heterolepis"
"Spartina gracilis Trin.","Sporobolus hookerianus P.M.Peterson & Saarela","Sporobolus hookerianus"
"Sporobolus indicus (L.) R. Br.","Sporobolus indicus (L.) R.Br.","Sporobolus indicus"
"Sporobolus indicus (L.) R. Br. var. indicus","Sporobolus indicus (L.) R.Br.","Sporobolus indicus"
"Sporobolus junceus (P. Beauv.) Kunth","Sporobolus junceus (P.Beauv.) Kunth","Sporobolus junceus"
"Spartina pectinata Bosc ex Link","Sporobolus michauxianus (Hitchc.) P.M.Peterson & Saarela","Sporobolus michauxianus"
"Sporobolus indicus (L.) R. Br. var. pyramidalis (P. Beauv.) Veldkamp","Sporobolus pyramidalis P.Beauv.","Sporobolus pyramidalis"
"Calamovilfa longifolia (Hook.) Scribn.","Sporobolus rigidus var. rigidus","Sporobolus rigidus"
"Sporobolus sp.","Sporobolus sp.","Sporobolus sp."
"Sporobolus spp.","Sporobolus spp.","Sporobolus sp."
"Sporobolus vaginiflorus (Torr. ex A. Gray) Alph. Wood","Sporobolus vaginiflorus (Torr. ex A.Gray) Alph.Wood","Sporobolus vaginiflorus"
"Sporobolus wrightii Munro ex Scribn.","Sporobolus wrightii Scribn.","Sporobolus wrightii"
"Stachys albens A. Gray","Stachys albens A.Gray","Stachys albens"
"Stachys bigelovii A. Gray","Stachys bigelovii A.Gray","Stachys bigelovii"
"Stachys chamissonis Benth. var. cooleyae (A. Heller) G. Mulligan & D. Munro","Stachys chamissonis var. cooleyae (A.Heller) G.A.Mulligan & D.B.Munro","Stachys chamissonis"
"Stachys chamissonis Benth.","Stachys chamissonis Benth.","Stachys chamissonis"
"Stachys cordata Riddell","Stachys cordata Riddell","Stachys cordata"
"Stachys floridana Shuttlw. ex Benth.","Stachys floridana Shuttlew. ex Benth.","Stachys floridana"
"Stachys latidens Small ex Britton","Stachys latidens Small","Stachys latidens"
"Stachys mexicana Benth.","Stachys mexicana Benth.","Stachys mexicana"
"Stachys palustris L.","Stachys palustris L.","Stachys palustris"
"Stachys pilosa Nutt.","Stachys pilosa Nutt.","Stachys pilosa"
"Stachys pilosa Nutt. var. pilosa","Stachys pilosa var. pilosa","Stachys pilosa"
"Stachys sp.","Stachys sp.","Stachys sp."
"Stachys tenuifolia Willd.","Stachys tenuifolia Willd.","Stachys tenuifolia"
"Stachytarpheta jamaicensis (L.) Vahl","Stachytarpheta jamaicensis (L.) Vahl","Stachytarpheta jamaicensis"
"Stanleya albescens M.E. Jones","Stanleya albescens M.E.Jones","Stanleya albescens"
"Chloris elata Desv.","Stapfochloa elata (Desv.) P.M.Peterson","Stapfochloa elata"
"Panicum laxum Sw.","Steinchisma laxum (Sw.) Zuloaga","Steinchisma laxum"
"Stellaria alaskana Hultén","Stellaria alaskana Hultén","Stellaria alaskana"
"Stellaria media (L.) Vill. ssp. pallida (Dumort.) Asch. & Graebn.","Stellaria apetala Ucria","Stellaria apetala"
"Stellaria borealis Bigelow","Stellaria borealis Bigelow","Stellaria borealis"
"Stellaria calycantha (Ledeb.) Bong.","Stellaria calycantha (Ledeb.) Bong.","Stellaria calycantha"
"Stellaria crispa Cham. & Schltdl.","Stellaria crispa Cham. & Schltdl.","Stellaria crispa"
"Stellaria graminea L.","Stellaria graminea L.","Stellaria graminea"
"Stellaria humifusa Rottb.","Stellaria humifusa Rottb.","Stellaria humifusa"
"Stellaria longifolia Muhl. ex Willd.","Stellaria longifolia Muhl. ex Willd.","Stellaria longifolia"
"Stellaria longifolia Muhl. ex Willd. var. longifolia","Stellaria longifolia Muhl. ex Willd. var. longifolia","Stellaria longifolia"
"Stellaria longipes Goldie","Stellaria longipes Goldie","Stellaria longipes"
"Stellaria longipes Goldie ssp. longipes","Stellaria longipes subsp. longipes","Stellaria longipes"
"Stellaria media (L.) Vill.","Stellaria media (L.) Vill.","Stellaria media"
"Stellaria media (L.) Vill. ssp. media","Stellaria media subsp. media","Stellaria media"
"Stellaria nitens Nutt.","Stellaria nitens Nutt.","Stellaria nitens"
"Stellaria pubera Michx.","Stellaria pubera Michx.","Stellaria pubera"
"Stellaria sp.","Stellaria sp.","Stellaria sp."
"Stenandrium tuberosum (L.) Urb.","Stenandrium tuberosum (L.) Urb.","Stenandrium tuberosum"
"Stenanthium gramineum (Ker Gawl.) Morong","Stenanthium gramineum (Ker Gawl.) Morong","Stenanthium gramineum"
"Stenaria nigricans (Lam.) Terrell var. nigricans","Stenaria nigricans var. nigricans","Stenaria nigricans"
"Stenaria nigricans (Lam.) Terrell","Stenaria nigricans (Lam.) Terrell","Stenaria nigricans"
"Stenaria sp.","Stenaria sp.","Stenaria sp."
"Stenocereus spp.","Stenocereus spp.","Stenocereus sp."
"Stenogyne calaminthoides A. Gray","Stenogyne calaminthoides A.Gray","Stenogyne calaminthoides"
"Stenogyne sp.","Stenogyne sp.","Stenogyne sp."
"Asterella gracilis (F. Weber) Underw.","Stenostachys gracilis (Hook.f.) Connor","Stenostachys gracilis"
"Antirhea acutata (DC.) Urb.","Stenostomum acutatum DC.","Stenostomum acutatum"
"Antirhea lucida (Sw.) Hook. f.","Stenostomum lucidum (Sw.) C.F.Gaertn.","Stenostomum lucidum"
"Stenotaphrum secundatum (Walter) Kuntze","Stenotaphrum secundatum (Walter) Kuntze","Stenotaphrum secundatum"
"Stenotus acaulis (Nutt.) Nutt.","Stenotus acaulis (Nutt.) Nutt.","Stenotus acaulis"
"Stephanomeria exigua Nutt.","Stephanomeria exigua Nutt.","Stephanomeria exigua"
"Stephanomeria exigua Nutt. ssp. exigua","Stephanomeria exigua subsp. exigua","Stephanomeria exigua"
"Stephanomeria pauciflora (Torr.) A. Nelson","Stephanomeria pauciflora (Torr.) A.Nelson","Stephanomeria pauciflora"
"Stephanomeria spp.","Stephanomeria spp.","Stephanomeria sp."
"Stephanomeria sp.","Stephanomeria sp.","Stephanomeria sp."
"Stephanomeria virgata Benth. ssp. pleurocarpa (Greene) Gottlieb","Stephanomeria virgata subsp. pleurocarpa (Greene) Gottlieb","Stephanomeria virgata"
"Sterculia apetala (Jacq.) Karst.","Sterculia apetala (Jacq.) H.Karst.","Sterculia apetala"
"Stewartia malacodendron L.","Stewartia malacodendron L.","Stewartia malacodendron"
"Stewartia sp.","Stewartia sp.","Stewartia sp."
"Sticherus owhyensis (Hook.) Ching","Sticherus owhyhensis (Hook.) Ching","Sticherus owhyhensis"
"Sticta sylvatica (Huds.) Ach.","Sticta sylvatica (Huds.) Ach.","Sticta sylvatica"
"Stigmaphyllon emarginatum (Cav.) A. Juss.","Stigmaphyllon emarginatum (Cav.) A.Juss.","Stigmaphyllon emarginatum"
"Stigmaphyllon floribundum (DC.) C.E. Anderson","Stigmaphyllon floribundum (DC.) C.E.Anderson","Stigmaphyllon floribundum"
"Stillingia sylvatica L.","Stillingia sylvatica L.","Stillingia sylvatica"
"Stillingia texana I.M. Johnst.","Stillingia texana I.M.Johnst.","Stillingia texana"
"Stipulicida setacea Michx.","Stipulicida setacea Michx.","Stipulicida setacea"
"Streptanthella longirostris (S. Watson) Rydb.","Streptanthella longirostris (S.Watson) Rydb.","Streptanthella longirostris"
"Streptanthus carinatus C. Wright ex A. Gray","Streptanthus carinatus C.Wright ex A.Gray","Streptanthus carinatus"
"Streptanthus carinatus C. Wright ex A. Gray ssp. arizonicus (S. Watson) Kruckeb., Rodman & Worthington","Streptanthus carinatus subsp. arizonicus (S.Watson) Kruckeb., Rodman & Worth.","Streptanthus carinatus"
"Streptanthus cordatus Nutt.","Streptanthus cordatus Nutt.","Streptanthus cordatus"
"Streptanthus cordatus Nutt. var. cordatus","Streptanthus cordatus var. cordatus","Streptanthus cordatus"
"Caulanthus coulteri S. Watson","Streptanthus coulteri (S.Watson) Greene","Streptanthus coulteri"
"Streptanthus diversifolius S. Watson","Streptanthus diversifolius S.Watson","Streptanthus diversifolius"
"Guillenia lasiophylla (Hook. & Arn.) Greene","Streptanthus lasiophyllus (Hook. & Arn.) Hoover","Streptanthus lasiophyllus"
"Streptanthus sp.","Streptanthus sp.","Streptanthus sp."
"Streptanthus tortuosus Kellogg","Streptanthus tortuosus Kellogg","Streptanthus tortuosus"
"Streptopus amplexifolius (L.) DC.","Streptopus amplexifolius (L.) DC.","Streptopus amplexifolius"
"Streptopus amplexifolius (L.) DC. var. amplexifolius","Streptopus amplexifolius (L.) DC. var. amplexifolius","Streptopus amplexifolius"
"Streptopus lanceolatus (Aiton) Reveal","Streptopus lanceolatus (Aiton) Reveal","Streptopus lanceolatus"
"Streptopus lanceolatus (Aiton) Reveal var. lanceolatus","Streptopus lanceolatus (Aiton) Reveal var. lanceolatus","Streptopus lanceolatus"
"Streptopus sp.","Streptopus sp.","Streptopus sp."
"Striga asiatica (L.) Kuntze","Striga asiatica (L.) Kuntze","Striga asiatica"
"Malcolmia africana (L.) W.T. Aiton","Strigosella africana (L.) Botsch.","Strigosella africana"
"Prosopis pubescens Benth.","Strombocarpa pubescens (Benth.) A.Gray","Strombocarpa pubescens"
"Strophostyles helvola (L.) Elliott","Strophostyles helvola (L.) Elliott","Strophostyles helvola"
"Strophostyles leiosperma (Torr. & A. Gray) Piper","Strophostyles leiosperma (Torr. & A.Gray) Piper","Strophostyles leiosperma"
"Strophostyles sp.","Strophostyles sp.","Strophostyles sp."
"Strophostyles umbellata (Muhl. ex Willd.) Britton","Strophostyles umbellata (Muhl. ex Willd.) Britton","Strophostyles umbellata"
"Stylisma abdita Myint","Stylisma abdita Myint","Stylisma abdita"
"Stylisma patens (Desr.) Myint ssp. angustifolia (Nash) Myint","Stylisma angustifolia (Nash) House","Stylisma angustifolia"
"Stylisma humistrata (Walter) Chapm.","Stylisma humistrata (Walter) Chapm.","Stylisma humistrata"
"Stylisma patens (Desr.) Myint","Stylisma patens (Desr.) Myint","Stylisma patens"
"Stylisma patens (Desr.) Myint ssp. patens","Stylisma patens (Desr.) Myint ssp. patens","Stylisma patens"
"Stylisma sp.","Stylisma sp.","Stylisma sp."
"Stylocline micropoides A. Gray","Stylocline micropoides A.Gray","Stylocline micropoides"
"Stylocline sp.","Stylocline sp.","Stylocline sp."
"Stylosanthes biflora (L.) Britton, Sterns & Poggenb.","Stylosanthes biflora (L.) Britton, Sterns & Poggenb.","Stylosanthes biflora"
"Stylosanthes hamata (L.) Taubert","Stylosanthes hamata (L.) Taub.","Stylosanthes hamata"
"Stylosanthes sp.","Stylosanthes sp.","Stylosanthes sp."
"Styphnolobium affine (Torr. & A. Gray) Walp.","Styphnolobium affine (Torr. & A.Gray) Walp.","Styphnolobium affine"
"Styrax americanus Lam.","Styrax americanus Lam.","Styrax americanus"
"Swietenia mahagoni (L.) Jacq.","Swietenia mahagoni (L.) Jacq.","Swietenia mahagoni"
"Symphoricarpos albus (L.) S.F. Blake","Symphoricarpos albus (L.) S.F.Blake","Symphoricarpos albus"
"Symphoricarpos albus (L.) S.F. Blake var. albus","Symphoricarpos albus var. albus","Symphoricarpos albus"
"Symphoricarpos mollis Nutt.","Symphoricarpos mollis Nutt.","Symphoricarpos mollis"
"Symphoricarpos occidentalis Hook.","Symphoricarpos occidentalis (R.Br.) Hook.","Symphoricarpos occidentalis"
"Symphoricarpos orbiculatus Moench","Symphoricarpos orbiculatus Moench","Symphoricarpos orbiculatus"
"Symphoricarpos oreophilus A. Gray","Symphoricarpos oreophilus A.Gray","Symphoricarpos oreophilus"
"Symphoricarpos rotundifolius A. Gray var. parishii (Rydb.) Dempster","Symphoricarpos parishii Rydb.","Symphoricarpos parishii"
"Symphoricarpos sp.","Symphoricarpos sp.","Symphoricarpos sp."
"Symphoricarpos spp.","Symphoricarpos spp.","Symphoricarpos sp."
"Symphyotrichum adnatum (Nutt.) G.L. Nesom","Symphyotrichum adnatum (Nutt.) G.L.Nesom","Symphyotrichum adnatum"
"Symphyotrichum ascendens (Lindl.) G.L. Nesom","Symphyotrichum ascendens (Lindl.) G.L.Nesom","Symphyotrichum ascendens"
"Symphyotrichum bahamense (Britton) G.L. Nesom","Symphyotrichum bahamense (Britton) G.L.Nesom","Symphyotrichum bahamense"
"Symphyotrichum boreale (Torr. & A. Gray) Á. Löve & D. Löve","Symphyotrichum boreale (Torr. & A.Gray) Á.Löve & D.Löve","Symphyotrichum boreale"
"Symphyotrichum campestre (Nutt.) G.L. Nesom","Symphyotrichum campestre (Nutt.) G.L.Nesom","Symphyotrichum campestre"
"Symphyotrichum ciliatum (Ledeb.) G.L. Nesom","Symphyotrichum ciliatum (Ledeb.) G.L.Nesom","Symphyotrichum ciliatum"
"Symphyotrichum ciliolatum (Lindl.) Á. Löve & D. Löve","Symphyotrichum ciliolatum (Lindl.) Á.Löve & D.Löve","Symphyotrichum ciliolatum"
"Symphyotrichum concolor (L.) G.L. Nesom","Symphyotrichum concolor (L.) G.L.Nesom","Symphyotrichum concolor"
"Symphyotrichum cordifolium (L.) G.L. Nesom","Symphyotrichum cordifolium (L.) G.L.Nesom","Symphyotrichum cordifolium"
"Symphyotrichum divaricatum (Nutt.) G.L. Nesom","Symphyotrichum divaricatum (Nutt.) G.L.Nesom","Symphyotrichum divaricatum"
"Symphyotrichum drummondii (Lindl.) G.L. Nesom","Symphyotrichum drummondii (Lindl.) G.L.Nesom","Symphyotrichum drummondii"
"Symphyotrichum drummondii (Lindl.) G.L. Nesom var. texanum (Burgess) G.L. Nesom","Symphyotrichum drummondii var. texanum (E.S.Burgess) G.L.Nesom","Symphyotrichum drummondii"
"Symphyotrichum drummondii (Lindl.) G.L. Nesom var. drummondii","Symphyotrichum drummondii var. drummondii","Symphyotrichum drummondii"
"Symphyotrichum dumosum (L.) G.L. Nesom","Symphyotrichum dumosum (L.) G.L.Nesom","Symphyotrichum dumosum"
"Symphyotrichum dumosum (L.) G.L. Nesom var. dumosum","Symphyotrichum dumosum (L.) G.L. Nesom var. dumosum","Symphyotrichum dumosum"
"Symphyotrichum ericoides (L.) G.L. Nesom","Symphyotrichum ericoides (L.) G.L.Nesom","Symphyotrichum ericoides"
